pe_SK;pe_Pepp;pe_Text
PKJ;PK14B;Verhaltensstörungen mit Beginn in der Kindheit und Jugend, Persönlichkeits- und Verhaltensstörungen oder andere Störungen, Alter 8-13 Jahre, ohne komplizierende Nebendiagnose, ohne erhöhten Betreuungsaufwand
PKJ;PK14C;Verhaltensstörungen mit Beginn in der Kindheit und Jugend, Persönlichkeits- und Verhaltensstörungen oder andere Störungen, Alter > 13 Jahre, ohne komplizierende Nebendiagnose, ohne erhöhten Betreuungsaufwand
PSO;PP04A;Affektive, neurotische, Belastungs-, somatoforme und Schlafstörungen, Alter > 64 Jahre oder mit komplizierender Konstellation oder mit hoher Therapieintensität oder mit Mutter/Vater-Kind-Setting
PSO;PP04B;Affektive, neurotische, Belastungs-, somatoforme und Schlafstörungen, Alter < 65 Jahre, ohne komplizierende Konstellation, ohne hohe Therapieintensität, ohne Mutter/Vater-Kind-Setting
PSO;PP10A;Anorexia nervosa oder Ess- und Fütterstörungen mit komplizierender Konstellation oder mit hoher Therapieintensität
PSO;PP10B;Ess- und Fütterstörungen außer bei Anorexia nervosa, ohne komplizierende Konstellation, ohne hohe Therapieintensität
PSO;PP14Z;Persönlichkeits- und Verhaltensstörungen oder andere Störungen
TPY;TA02Z;Psychische und Verhaltensstörungen durch psychotrope Substanzen
TPY;TA15Z;Organische Störungen, amnestisches Syndrom, Alzheimer-Krankheit und sonstige degenerative Krankheiten des Nervensystems
TPY;TA19Z;Psychotische, affektive, neurotische, Belastungs-, somatoforme, Schlaf-, Persönlichkeits- und Verhaltensstörungen oder andere Störungen, Alter > 64 Jahre oder mit komplizierender Diagnose
TPY;TA20Z;Psychotische, affektive, neurotische, Belastungs-, somatoforme, Schlaf-, Persönlichkeits- und Verhaltensstörungen oder andere Störungen, Alter < 65 Jahre, ohne komplizierende Diagnose
TKJ;TK04Z;Affektive, neurotische, Belastungs-, somatoforme und Schlafstörungen ohne komplizierende Nebendiagnose
TKJ;TK14Z;Affektive, neurotische, Belastungs-, somatoforme und Schlafstörungen mit komplizierender Nebendiagnose oder Verhaltensstörungen mit Beginn in der Kindheit und Jugend, Persönlichkeits- und Verhaltensstörungen oder andere Störungen
TPO;TP20Z;Psychosomatische oder psychiatrische Störungen
